PT	AU	TI	PY	SO	SE	BP	EP	AB	DT	PD	DI	methods	domains	IF	Cite	partition
C	Ma, Zibo; Liu, Xudong; Zhang, Liguo	Dissipation of Stop-and-Go Waves of Mixed Autonomous Vehicle Flow with Reinforcement Learning	2021	2021 PROCEEDINGS OF THE 40TH CHINESE CONTROL CONFERENCE (CCC)	Chinese Control Conference	6064	6069	"Traffic congestion is a common phenomenon in cities, and improving traffic efficiency has become an urgent problem to be solved. Many researchers have proposed feasible solutions from different perspectives, such as traffic flow, signal lights, etc. This paper proposes a method of dissipating stop-and-go wave based on reinforcement learning (RL). Specifically, we take the mixed autonomous vehicle flow as the research object, using RL to train the driving strategy of connected autonomous vehicle (CAV), and dissipating the stop-and-go waves in vehicle flow by adjusting the CAV's driving behavior. We propose the concept of ""Equivalent Density Difference"" as a model to describe the difference of traffic flow dynamics before and after a specific vehicle within a certain range, and use this index to design RL model. The proposed method combines the advantages of data-driven and model-driven, improving the training efficiency of RL. Experimental results show that this method can increase the system-level speed and improve the stability of the mixed autonomous vehicle flow."	Proceedings Paper	2021		[]	[]	-1	-1	-1
C	Xia, Yuyang; Liu, Shuncheng; Chen, Xu; Xu, Zhi; Zheng, Kai; Su, Han	RISE: A Velocity Control Framework with Minimal Impacts based on Reinforcement Learning	2022	PROCEEDINGS OF THE 31ST ACM INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE MANAGEMENT, CIKM 2022		2210	2219	Velocity control in autonomous driving is an emerging technology that has achieved rapid progress over the last decade. However, existing velocity control models are developed in single-lane scenarios and ignore the negative impacts caused by harsh velocity changes. In this work, we propose a velocity control framework based on reinforcement learning, called RISE (contRol velocIty for autonomouS vEhicle). In multi-lane circumstances, RISE improves velocity decisions regarding the autonomous vehicle itself, while minimizing impacts on rear vehicles. To achieve multiple objectives, we propose a hybrid reward function to rate each velocity decision from four aspects: safety, efficiency, comfort, and negative impact to guide the autonomous vehicle. Among these reward factors, the negative impact is used to penalize the harsh actions of the autonomous vehicle, thus prompting it to reduce the negative impacts on its rear vehicles. To detect the latent perturbations among surrounding vehicles in multiple lanes, we propose an attention-based encoder to learn the positions and interactions from an impact graph. Extensive experiments evidence that RISE enables safe driving, and outperforms state-of-the-art methods in efficiency, comfort, and alleviating negative impacts.	Proceedings Paper	2022	10.1145/3511808.3557435	[]	[]	-1	-1	-1
C	Naruse, K; Kakazu, Y; Leu, MC	Modular reinforcement learning for autonomous vehicle navigation in an unknown workspace	1998	1998 JAPAN-U.S.A. SYMPOSIUM ON FLEXIBLE AUTOMATION - PROCEEDINGS, VOLS I AND II		577	583	This paper presents the development of a planning system using modular reinforcement learning for autonomous vehicle navigation in an unknown workspace. The system consists of modules that learn subtasks independently: Each module carries out a subtask of the navigation such as obstacle avoidance or goal seeking. Computational simulations demonstrate that the proposed planning system solves the navigation problem efficiently.	Proceedings Paper	1998		[]	[]	-1	-1	-1
J	Xu Zezhou; Qu Dayi; Hong Jiale; Song Xiaochen	Research on Decision-making Method for Autonomous Driving Behavior of Connected and Automated Vehicle	2021	Complex Systems and Complexity Science		88	94	Aiming at the problem of direct conflict between autonomous vehicles and other humandriven vehicles at intersections,an autonomous vehicle behavior decision model is built,and deep reinforcement learning is used to train autonomous vehicles when passing road intersections,allowing autonomous vehicles to make autonomous decisions and achieve fast control of complex scenarios, and the comparison with the non-dominated sorting genetic algorithm-Ⅱverifies the stability of the autonomous vehicle.The simulation results show that the autonomous vehicle behavior decision-making method using the depth deterministic strategy gradient algorithm has better output speed to ensure the smooth changes of the throttle and brake values,and effectively solve the safety and comfort problems of autonomous vehicles.	Article	2021		[]	[]	-1	-1	-1
J	Quang-Duy Tran; Bae, Sang-Hoon	An Efficiency Enhancing Methodology for Multiple Autonomous Vehicles in an Urban Network Adopting Deep Reinforcement Learning	2021	APPLIED SCIENCES-BASEL				To reduce the impact of congestion, it is necessary to improve our overall understanding of the influence of the autonomous vehicle. Recently, deep reinforcement learning has become an effective means of solving complex control tasks. Accordingly, we show an advanced deep reinforcement learning that investigates how the leading autonomous vehicles affect the urban network under a mixed-traffic environment. We also suggest a set of hyperparameters for achieving better performance. Firstly, we feed a set of hyperparameters into our deep reinforcement learning agents. Secondly, we investigate the leading autonomous vehicle experiment in the urban network with different autonomous vehicle penetration rates. Thirdly, the advantage of leading autonomous vehicles is evaluated using entire manual vehicle and leading manual vehicle experiments. Finally, the proximal policy optimization with a clipped objective is compared to the proximal policy optimization with an adaptive Kullback-Leibler penalty to verify the superiority of the proposed hyperparameter. We demonstrate that full automation traffic increased the average speed 1.27 times greater compared with the entire manual vehicle experiment. Our proposed method becomes significantly more effective at a higher autonomous vehicle penetration rate. Furthermore, the leading autonomous vehicles could help to mitigate traffic congestion.	Article	FEB 2021	10.3390/app11041514	[]	[]	-1	-1	-1
C	Corso, Anthony; Du, Peter; Driggs-Campbell, Katherine; Kochenderfer, Mykel J.	Adaptive Stress Testing with Reward Augmentation for Autonomous Vehicle Validation	2019	2019 IEEE INTELLIGENT TRANSPORTATION SYSTEMS CONFERENCE (ITSC)	IEEE International Conference on Intelligent Transportation Systems-ITSC	163	168	Determining possible failure scenarios is a critical step in the evaluation of autonomous vehicle systems. Real world vehicle testing is commonly employed for autonomous vehicle validation, but the costs and time requirements are high. Consequently, simulation driven methods such as Adaptive Stress Testing (AST) have been proposed to aid in validation. AST formulates the problem of finding the most likely failure scenarios as a Markov decision process, which can be solved using reinforcement learning. In practice, AST tends to find scenarios where failure is unavoidable and tends to repeatedly discover the same types of failures of a system. This work addresses these issues by encoding domain relevant information into the search procedure. With this modification, the AST method discovers a larger and more expressive subset of the failure space when compared to the original AST formulation. We show that our approach is able to identify useful failure scenarios of an autonomous vehicle policy.	Proceedings Paper	2019		[]	[]	-1	-1	-1
C	Arvind, C. S.; Senthilnath, J.	Autonomous RL: Autonomous Vehicle Obstacle Avoidance in a Dynamic Environment using MLP-SARSA Reinforcement Learning	2019	2019 IEEE 5TH INTERNATIONAL CONFERENCE ON MECHATRONICS SYSTEM AND ROBOTS (ICMSR 2019)		120	124	This paper presents a Multi-Layer Perceptron-State Action Reward State Action (MLP-SARSA) based reinforcement learning methodology for dynamic obstacle detection and avoidance for autonomous vehicle navigation. MLP-SARSA is an on-policy reinforcement learning approach, which gains information and rewards from the environment and helps the autonomous vehicle to avoid dynamic moving obstacles. MLP with SARSA provides a significant advantage over dynamic environment compared to other traditional reinforcement algorithms. In this study, a MLP-SARSA model is trained in a complex urban simulation environment with dynamic obstacles using the pygame library. Experimental results show that the trained MLP-SARSA can navigate the autonomous vehicle in a dynamic environment with more confidences than traditional Q-learning and SARSA reinforcement algorithms.	Proceedings Paper	2019	10.1109/icmsr.2019.8835462	[]	[]	-1	-1	-1
B	Xinchen Zhang; Jun Zhang; Yuansheng Lin; Longyang Xie	Research on Decision Model of Autonomous Vehicle Based on Deep Reinforcement Learning	2021	Proceedings of 2021 IEEE 11th International Conference on Electronics Information and Emergency Communication (ICEIEC)		136	40	The Deep Q Network (DQN) model has been widely used in autonomous vehicle lane change decision in highway scenes, but the traditional DQN has the problems of overestimation and slow convergence speed. Aiming at these problems, an autonomous vehicle lane changing decision model based on the improved DQN is proposed. First, the obtained state values are input into two neural networks with the same structure and different parameter update frequencies to reduce the correlation between empirical samples, and then the hybrid strategy based on e-greedy and Boltzmann is used to make the vehicles explore the environment. Finally, the model is trained and tested in the experimental scene built by the NGSIM dataset. The experimental results show that the Double Deep Q Network (DDQN) model based on the hybrid strategy improves the success rate of the autonomous vehicle's lane-changing decision and the convergence speed of the network.	Conference Paper	2021	10.1109/ICEIEC51955.2021.9463817	[]	[]	-1	-1	-1
B	Xu, G.; Chen, B.; Li, G.; He, X.	Connected Autonomous Vehicle Platoon Control Through Multi-agent Deep Reinforcement Learning	2022	Broadband Communications, Networks, and Systems: 12th EAI International Conference, BROADNETS 2021, Proceedings. Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering (413)		239	48	The rise of the artificial intelligence (AI) brings golden opportunity to accelerate the development of the intelligent transportation system (ITS). The platoon control of connected autonomous vehicle (CAV) as the key technology exhibits superior for improving traffic system. However, there still exist some challenges in multi-objective platoon control and multi-agent interaction. Therefore, this paper proposed a connected autonomous vehicle latoon control approach with multi-agent deep reinforcement learning (MADRL). Finally, the results in stochastic mixed traffic flow based on SUMO (simulation of urban mobility) platform demonstrate that the proposed method is feasible, effective and advanced.	Conference Paper	2022	10.1007/978-3-030-93479-8_16	[]	[]	-1	-1	-1
C	Kuhnert, KD; Krödel, M	Evaluative feedback as the basis for behavior optimization in the area of autonomous vehicle steering	2005	2005 IEEE Intelligent Transportation Systems Conference (ITSC)		671	675	Steering an autonomous vehicle requires the permanent adaptation of behavior in relationship to the various situations the vehicle is in. This paper describes a research which implements such adaptation and optimization based on Reinforcement Learning (RL) which in detail purely learns from evaluative feedback in contrast to instructive feedback. In this way it self-explores and self-optimises actions for situations in a defined environment. The target of this research is to determine to what extent RL-based Systems serve as an enhancement or even an alternative to classical concepts of autonomous intelligent vehicles such as modelling or neural nets.	Proceedings Paper	2005		[]	[]	-1	-1	-1
